"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","SCALE","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","ITA.MG_CIF_USD.FRA.A","OBS_VALUE","Italy","Imports of goods, Cost insurance freight (CIF), US dollar","France","Annual","Millions","35777.361871","46166.001449","50687.610162","48661.267195","49492.984568"
"IMF.STA:IMTS(1.0.0)","ITA.MG_CIF_USD.GBR.A","OBS_VALUE","Italy","Imports of goods, Cost insurance freight (CIF), US dollar","United Kingdom","Annual","Millions","10120.212351","9537.789863","8630.718474","9462.522252","8727.001401"
"IMF.STA:IMTS(1.0.0)","ITA.MG_CIF_USD.CAN.A","OBS_VALUE","Italy","Imports of goods, Cost insurance freight (CIF), US dollar","Canada","Annual","Millions","2008.373543","2047.651816","1947.976869","2006.146011","3262.671421"
"IMF.STA:IMTS(1.0.0)","USA.TBG_USD.GBR.A","OBS_VALUE","United States","Trade balance goods, US dollar","United Kingdom","Annual","Millions","8252.71143","5399.862654","12255.719782","9804.441551","11856.874421"
"IMF.STA:IMTS(1.0.0)","ITA.XG_FOB_USD.DEU.A","OBS_VALUE","Italy","Exports of goods, Free on board (FOB), US dollar","Germany","Annual","Millions","","","","",""
"IMF.STA:IMTS(1.0.0)","ITA.MG_CIF_USD.DEU.A","OBS_VALUE","Italy","Imports of goods, Cost insurance freight (CIF), US dollar","Germany","Annual","Millions","","","","",""
"IMF.STA:IMTS(1.0.0)","ITA.TBG_USD.DEU.A","OBS_VALUE","Italy","Trade balance goods, US dollar","Germany","Annual","Millions","","","","",""
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.CAN.A","OBS_VALUE","France","Trade balance goods, US dollar","Canada","Annual","Millions","439.713899","164.597585","623.358044","384.106099","638.083505"
"IMF.STA:IMTS(1.0.0)","FRA.XG_FOB_USD.DEU.A","OBS_VALUE","France","Exports of goods, Free on board (FOB), US dollar","Germany","Annual","Millions","71072.534527","83482.75562","84756.606873","88443.156585","83434.742051"
"IMF.STA:IMTS(1.0.0)","FRA.MG_CIF_USD.CAN.A","OBS_VALUE","France","Imports of goods, Cost insurance freight (CIF), US dollar","Canada","Annual","Millions","3141.500198","3896.967176","3680.942766","3890.761203","3625.790996"
"IMF.STA:IMTS(1.0.0)","FRA.XG_FOB_USD.CAN.A","OBS_VALUE","France","Exports of goods, Free on board (FOB), US dollar","Canada","Annual","Millions","3581.214097","4061.564761","4304.30081","4274.867302","4263.874501"
"IMF.STA:IMTS(1.0.0)","FRA.XG_FOB_USD.USA.A","OBS_VALUE","France","Exports of goods, Free on board (FOB), US dollar","United States","Annual","Millions","37401.932852","41515.372379","49121.738111","47488.765541","50937.260197"
"IMF.STA:IMTS(1.0.0)","FRA.MG_CIF_USD.DEU.A","OBS_VALUE","France","Imports of goods, Cost insurance freight (CIF), US dollar","Germany","Annual","Millions","101435.174001","120119.858303","120768.937207","121105.095029","115384.286956"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.ITA.A","OBS_VALUE","France","Trade balance goods, US dollar","Italy","Annual","Millions","-11585.551886","-12812.620928","-3095.658326","-4790.087065","-7574.051785"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.GBR.A","OBS_VALUE","France","Trade balance goods, US dollar","United Kingdom","Annual","Millions","8884.909776","9785.424839","6820.511754","12926.238801","12264.291683"
"IMF.STA:IMTS(1.0.0)","FRA.MG_CIF_USD.USA.A","OBS_VALUE","France","Imports of goods, Cost insurance freight (CIF), US dollar","United States","Annual","Millions","27881.41143","31650.349357","56004.917567","47430.216781","47912.969863"
"IMF.STA:IMTS(1.0.0)","FRA.MG_CIF_USD.JPN.A","OBS_VALUE","France","Imports of goods, Cost insurance freight (CIF), US dollar","Japan","Annual","Millions","5630.270127","6918.440965","5830.788742","6087.669478","5691.990662"
"IMF.STA:IMTS(1.0.0)","FRA.MG_CIF_USD.ITA.A","OBS_VALUE","France","Imports of goods, Cost insurance freight (CIF), US dollar","Italy","Annual","Millions","48862.414894","59511.849329","60485.949117","62132.255316","59434.596614"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.DEU.A","OBS_VALUE","France","Trade balance goods, US dollar","Germany","Annual","Millions","-30362.639474","-36637.102683","-36012.330334","-32661.938444","-31949.544905"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.USA.A","OBS_VALUE","France","Trade balance goods, US dollar","United States","Annual","Millions","9520.521422","9865.023022","-6883.179456","58.54876","3024.290334"
"IMF.STA:IMTS(1.0.0)","FRA.TBG_USD.JPN.A","OBS_VALUE","France","Trade balance goods, US dollar","Japan","Annual","Millions","898.540752","841.767206","882.155105","1140.489795","4199.563252"
